889 916
93 645 480
482 435 755
204 696 -29
693 13 -397
83 388 -364
53 313 922
454 644 -578
845 657 759
23 538 809
36 799 860
828 571 -129
523 375 -622
870 333 -13
424 476 -937
534 271 -251
125 12 799
699 242 -978
749 508 713
678 849 307
156 438 -55
674 295 82
500 308 -185
532 406 -601
118 458 -764
626 139 -282
132 878 -914
167 739 -936
409 144 -306
358 159 321
244 679 132
123 699 691
707 510 521
597 157 922
715 500 794
318 349 -214
803 638 -651
114 777 -572
822 174 -790
488 883 -153
478 307 412
757 842 806
63 199 112
12 539 987
577 671 -424
193 61 -993
558 97 -59
357 346 146
811 315 -275
392 533 -247
314 174 366
145 427 527
205 248 -335
276 189 -521
592 679 280
746 34 142
162 452 -675
885 815 446
395 734 -520
586 537 -133
206 282 -691
806 29 -413
755 679 65
643 250 728
38 706 -238
568 684 344
360 827 -559
651 633 -340
374 408 -959
263 279 -419
600 594 -102
354 49 -441
797 575 -79
807 573 -406
466 787 326
458 837 -216
591 619 476
513 96 -94
732 181 839
750 222 173
409 58 -608
690 481 523
331 603 -376
492 682 -798
842 775 428
3 142 532
310 787 729
456 475 645
227 840 -283
218 853 290
876 337 473
722 428 -544
173 681 293
886 793 269
413 319 898
215 574 -87
522 712 959
189 796 14
110 853 -187
736 406 -644
619 784 -48
407 638 -931
282 381 -4
336 884 -257
748 863 -601
302 257 -484
673 659 -478
872 838 -359
51 495 -244
203 616 906
272 173 458
841 416 -407
819 60 -502
246 228 406
880 827 -240
46 668 239
146 356 55
434 669 766
637 781 865
122 444 -13
477 734 -111
89 351 -509
757 867 -980
561 723 289
567 810 443
849 888 32
161 783 570
299 667 209
442 814 633
877 220 -361
189 493 -467
406 872 976
743 44 248
741 159 76
556 397 -378
420 480 -258
457 527 601
405 757 -794
506 484 -437
659 584 -996
489 852 740
343 378 399
17 835 -730
477 483 308
203 711 875
177 345 -511
392 359 985
108 592 -690
460 649 521
872 849 -758
591 281 -419
745 59 467
764 329 89
433 148 148
474 425 969
780 318 -753
581 411 -189
357 813 -60
738 480 -407
130 132 -768
564 522 -947
57 479 130
173 274 -589
141 567 356
526 355 75
462 220 108
430 557 -186
274 453 -91
526 815 -475
345 521 -215
658 119 863
823 539 -279
220 446 667
466 235 309
102 71 -228
30 450 -69
514 93 -177
584 769 832
283 535 -934
620 651 533
101 425 354
601 96 166
76 104 904
780 288 -549
542 419 -715
783 815 -715
277 290 -713
690 447 -378
757 277 588
458 510 -301
753 507 170
167 675 849
189 37 -77
604 523 -873
669 364 889
615 532 990
115 687 -938
83 138 120
204 111 219
305 343 165
786 287 -219
514 846 268
155 685 265
287 155 395
306 148 -464
840 90 249
730 32 -862
444 408 909
779 72 68
217 236 827
590 22 620
711 33 947
191 546 466
254 44 -428
525 572 970
871 236 -939
74 753 -454
755 119 844
771 788 -942
24 262 298
619 760 331
759 676 945
277 539 156
412 695 -489
192 753 -293
296 30 -219
717 707 767
567 281 -344
776 302 381
562 7 975
71 648 647
299 158 -800
283 15 93
200 413 864
444 310 -559
812 506 128
698 649 -36
447 52 885
79 836 -41
795 153 -420
856 176 -219
464 536 647
614 554 694
153 36 -59
785 649 121
640 195 -900
766 166 -290
3 124 -376
840 458 908
302 397 -644
40 455 666
827 738 -253
488 362 -744
279 679 -817
311 350 591
557 627 223
58 546 -984
452 745 318
631 590 507
212 102 721
488 697 -604
577 467 -243
826 372 13
89 392 -351
110 350 -554
681 441 -965
485 767 -955
818 455 -104
372 378 -118
243 790 778
377 108 175
823 83 293
273 560 933
137 683 -374
32 57 612
507 497 28
113 471 786
355 888 -177
594 165 143
314 806 -13
371 98 193
283 287 47
633 878 -547
348 148 844
382 755 310
75 771 -132
682 162 -75
844 240 653
191 311 257
785 247 -640
625 817 -917
724 256 -611
527 13 -970
277 853 -149
489 139 -737
706 572 -121
413 799 354
784 656 718
768 867 -650
805 269 -63
605 642 -950
180 375 -890
420 26 495
101 210 -771
364 746 -910
221 40 88
602 187 998
133 476 578
91 165 -323
184 495 -480
192 45 -82
60 417 -780
132 671 485
184 762 607
34 398 -641
315 578 638
377 94 -329
481 731 744
363 106 -729
43 682 817
584 740 329
72 70 -924
377 305 6
503 267 -563
279 867 937
759 604 811
455 298 -874
424 22 281
133 796 608
265 532 236
852 451 481
375 250 242
511 333 -954
449 497 -977
45 116 71
710 87 -866
302 569 538
814 184 -114
215 623 125
412 494 779
660 85 -170
416 421 -733
259 755 -43
845 598 374
631 107 400
288 225 580
495 854 164
522 637 526
119 126 101
392 424 837
592 513 -975
536 481 631
84 648 -9
556 447 -829
681 240 676
847 117 -682
368 182 -950
626 237 -642
83 728 -677
735 789 -937
33 182 -817
637 357 -252
496 588 8
616 462 408
811 815 -887
492 511 -275
49 113 -541
229 179 613
370 93 415
173 607 816
385 760 340
180 470 613
119 841 -212
254 22 -910
632 696 -481
308 662 366
754 250 856
798 594 -650
692 414 -708
315 699 347
261 372 -893
754 314 876
534 502 134
40 618 -83
250 889 181
237 817 448
259 809 -57
233 30 -711
339 528 -996
544 115 -775
499 421 71
445 308 997
675 453 -834
548 816 -726
17 537 609
824 329 -883
822 581 143
819 664 -457
264 688 -583
202 848 -772
358 811 -800
286 49 -59
224 762 36
739 849 307
67 283 -866
191 831 -473
834 498 307
71 278 661
726 850 -724
415 403 151
635 716 -883
365 83 855
168 407 -89
425 681 1
423 795 707
809 291 498
656 307 371
585 341 169
428 490 -241
302 23 -574
628 366 100
81 814 -593
487 300 -638
256 396 -982
755 871 -526
505 300 -341
322 671 -125
866 787 260
653 782 -993
623 792 986
60 427 -650
597 210 -512
465 85 225
481 135 -902
571 774 440
556 718 -11
53 806 -293
658 715 -972
498 309 79
305 572 236
452 212 -441
254 595 468
33 200 59
210 447 -656
742 488 -233
735 779 -120
43 328 -132
292 376 227
322 255 -369
281 461 11
44 309 892
469 243 74
500 238 407
240 423 330
349 464 530
188 691 -689
767 507 -452
399 586 785
431 409 -938
311 681 433
744 617 -47
195 55 570
575 724 -82
775 875 233
471 121 906
95 414 -992
315 402 610
654 145 541
712 187 12
149 811 -960
661 262 153
270 453 225
604 817 -503
148 103 566
195 847 -532
139 179 289
336 305 926
249 298 -824
3 566 978
374 650 268
258 761 601
248 507 -550
664 290 572
692 736 826
424 77 491
323 244 592
488 257 -927
53 205 -10
786 518 -12
369 819 -676
491 630 697
754 610 -25
539 620 -707
376 362 328
665 667 -145
582 258 760
504 761 -674
382 322 -14
721 826 -364
15 857 336
467 847 330
70 524 384
95 10 -398
190 388 -44
339 760 -368
117 18 785
22 654 -10
767 158 68
523 884 927
279 413 -421
766 622 998
430 234 933
603 270 374
827 398 626
46 359 -696
635 482 9
637 524 125
329 209 535
358 440 -550
239 690 100
635 396 243
769 494 938
270 564 308
347 499 65
371 418 -787
256 767 880
240 492 839
619 34 984
703 324 247
350 353 -180
769 404 946
719 196 931
528 854 119
362 570 -870
416 67 92
148 137 -959
718 392 818
461 127 375
26 42 -487
51 243 -239
188 681 -141
282 516 -444
842 330 -505
463 638 240
372 59 191
478 220 -382
743 772 876
745 90 579
416 222 876
256 339 893
545 797 843
162 549 -289
578 735 888
279 571 -854
730 165 133
343 625 -724
864 77 481
75 697 -340
665 679 -933
436 96 323
870 820 -880
356 441 952
431 259 359
326 814 -620
138 29 -442
755 164 574
195 668 -700
64 352 604
3 371 8
422 695 -116
842 810 551
356 553 413
742 851 -185
842 194 -75
125 11 200
789 284 -829
5 260 482
315 107 838
376 852 735
209 608 697
91 288 318
14 710 -153
48 83 239
669 875 84
168 280 418
262 151 -496
868 529 718
458 37 650
589 499 164
610 459 153
71 52 -635
278 216 -909
533 146 685
415 613 -993
290 312 -942
592 258 99
58 619 -739
658 585 -546
176 58 94
264 170 143
800 258 -768
300 253 864
459 381 -748
716 756 777
848 837 -704
778 26 -127
769 236 -921
695 233 684
222 298 919
84 321 294
56 420 -108
698 597 -20
499 577 695
336 792 0
381 791 723
424 876 562
40 885 115
829 12 -20
60 563 572
64 664 -549
329 588 551
632 446 557
860 148 -254
847 218 -14
89 368 -792
597 656 48
243 426 98
381 78 -929
419 829 622
556 551 -799
757 787 -443
787 411 25
512 522 -338
136 867 856
39 100 89
216 720 -20
114 590 -430
375 263 848
338 824 10
381 655 874
181 384 321
768 726 -875
720 401 -297
595 337 217
685 460 -810
352 22 102
604 511 -155
829 212 959
312 849 -47
227 173 -413
634 180 -463
264 413 -687
29 31 333
637 297 892
314 239 156
592 369 946
231 557 -450
98 622 324
