911 2715
339 372 692
462 779 863
372 839 908
176 69 313
624 186 541
612 862 506
716 827 201
575 230 422
344 127 787
445 544 23
449 843 225
429 630 736
525 116 117
566 504 359
579 483 835
184 116 378
403 753 291
130 391 642
75 792 289
753 570 852
658 458 184
556 272 270
86 512 96
428 775 543
397 865 421
74 678 389
361 268 473
222 558 741
120 614 929
619 704 52
85 746 307
235 49 803
457 752 729
279 162 828
92 593 604
653 279 354
578 868 879
213 485 409
746 312 555
267 509 894
286 673 953
89 797 77
656 815 929
626 647 130
461 611 211
774 66 936
664 632 513
368 476 907
435 653 677
661 788 462
592 493 704
883 806 33
601 648 939
288 285 905
344 476 140
837 279 217
874 674 464
75 184 66
360 434 305
168 239 777
611 510 397
2 530 646
450 705 437
197 191 436
620 757 814
565 737 558
477 71 645
715 31 212
528 516 261
436 232 3
427 653 680
99 88 417
451 765 331
90 756 767
578 125 407
18 243 38
592 761 6
4 72 38
362 278 459
736 169 2
241 438 636
292 248 424
439 139 415
549 869 878
517 481 720
27 698 411
340 18 987
21 128 611
192 879 923
352 486 554
571 700 106
724 87 150
633 644 394
853 800 846
157 777 90
306 868 207
504 529 797
632 692 294
214 302 305
194 386 610
221 506 820
378 22 810
707 745 75
735 704 158
8 691 58
104 91 158
624 600 262
730 177 390
863 238 889
295 137 652
805 196 398
190 666 38
482 391 891
625 528 8
779 881 894
359 170 76
361 27 344
540 97 840
690 22 370
776 311 725
835 111 571
418 266 158
48 479 114
819 119 670
911 149 365
273 522 266
906 299 835
755 215 388
599 153 535
483 321 560
349 184 312
490 649 237
799 242 647
800 218 37
332 124 958
864 3 661
318 316 649
215 848 636
146 191 87
731 59 372
812 235 37
897 723 957
612 228 114
653 213 180
453 675 593
344 259 245
416 483 137
241 247 131
646 413 601
906 551 71
892 367 135
111 796 708
733 779 976
273 116 388
862 765 335
679 588 973
393 814 120
549 788 207
481 858 14
738 19 73
435 868 232
48 700 775
195 713 168
801 731 417
627 566 403
694 760 333
268 184 27
345 686 988
422 131 31
501 488 48
97 240 207
701 689 482
586 617 787
344 264 163
396 527 82
543 96 331
309 39 899
190 558 141
536 262 61
486 745 276
342 370 469
56 77 821
748 532 843
104 29 449
408 397 452
818 239 400
704 878 434
676 725 261
620 11 650
241 551 294
710 618 913
756 272 432
526 129 440
34 236 202
114 318 338
411 342 699
755 837 962
305 490 840
81 909 840
883 353 651
567 869 990
529 189 469
431 223 615
560 733 273
794 296 942
587 407 535
380 454 548
23 333 292
145 731 150
833 69 62
519 680 140
702 890 520
909 385 877
589 216 449
226 507 650
234 271 987
808 635 283
836 791 841
186 565 635
288 393 898
540 208 200
159 349 844
893 538 790
480 556 186
511 404 193
682 777 640
13 374 766
612 707 274
26 756 202
105 504 312
519 86 195
362 244 804
633 724 490
324 282 126
791 630 295
681 180 164
816 174 965
571 842 119
238 649 859
708 385 741
680 704 135
81 193 431
767 683 134
882 899 554
594 213 261
386 19 993
803 323 947
574 580 261
229 576 167
517 732 679
256 762 970
424 785 658
416 354 821
438 497 304
537 433 702
851 491 655
690 623 836
618 212 810
707 330 536
99 152 914
895 371 13
182 455 200
241 673 764
366 593 385
352 65 219
328 371 160
167 420 1
414 235 419
879 253 489
39 312 553
603 87 884
747 796 737
525 629 330
800 612 723
272 362 254
430 614 286
838 423 908
62 675 668
205 34 429
582 220 890
812 502 519
293 795 759
142 639 413
326 867 389
510 680 397
677 337 622
200 468 545
350 407 605
233 684 121
537 83 273
462 278 159
430 236 979
748 527 201
841 517 711
694 313 517
720 70 152
716 240 440
431 409 911
693 516 73
761 832 736
701 54 737
672 234 310
137 580 488
689 353 762
599 554 722
291 242 93
841 308 637
693 285 528
20 88 332
538 70 483
167 346 297
714 795 298
317 427 919
5 502 898
907 716 747
228 797 367
622 208 267
509 369 806
662 546 778
704 429 832
127 454 489
564 146 551
353 165 109
207 585 484
478 858 621
383 545 971
487 375 454
323 521 918
708 857 881
678 789 428
854 302 893
860 202 525
66 502 754
500 779 871
868 784 340
808 562 317
46 773 341
361 249 590
640 201 62
898 22 550
690 828 681
693 735 90
392 630 769
592 24 40
186 155 672
726 36 772
565 213 790
888 70 805
77 362 159
213 617 431
252 614 376
435 688 934
358 377 719
395 197 985
308 220 520
721 436 541
59 406 84
119 361 126
659 655 751
328 681 569
468 775 563
704 818 495
462 288 724
234 121 292
577 436 383
32 476 782
506 724 645
418 811 902
583 33 495
814 730 294
794 554 931
459 153 791
286 135 957
4 79 479
841 178 508
506 771 279
447 23 331
488 454 370
7 453 806
867 280 855
66 164 155
508 55 595
487 201 975
887 531 439
36 865 684
443 734 469
671 395 995
63 382 499
447 877 397
515 615 253
576 167 490
768 45 764
407 696 359
320 533 218
768 761 809
767 286 762
840 888 761
600 185 112
271 194 491
778 375 841
429 469 553
556 413 339
345 308 930
631 818 427
136 445 573
215 532 899
430 838 945
51 484 710
877 731 963
857 377 526
704 285 168
364 693 9
585 801 780
251 39 985
645 411 422
263 387 904
509 125 443
856 833 903
567 772 601
458 847 647
546 208 421
298 264 345
519 343 971
470 139 361
689 579 818
822 19 68
622 849 737
456 777 734
415 513 988
686 709 109
718 109 606
126 314 42
115 364 865
250 248 761
162 887 561
846 46 555
187 905 40
649 400 328
173 423 353
333 801 284
514 338 414
175 382 679
249 191 193
117 618 726
863 276 772
168 512 304
900 844 68
122 826 189
737 682 683
417 402 474
240 351 182
277 813 302
853 174 793
488 256 893
263 190 974
59 112 324
796 843 652
395 622 57
45 797 821
891 315 58
565 89 616
846 4 550
302 606 929
324 855 691
136 242 55
717 459 558
580 672 75
481 717 906
313 470 406
911 254 746
129 288 526
691 704 832
506 849 422
343 593 839
73 897 937
719 888 346
76 53 981
826 877 769
184 797 994
510 326 69
665 130 653
795 397 372
284 259 341
53 130 715
529 730 957
211 25 208
240 693 377
213 571 536
906 872 699
23 790 901
724 553 1000
598 168 762
847 754 63
196 102 500
557 27 831
592 569 610
107 570 667
281 538 319
155 37 198
223 317 393
157 244 767
589 127 739
461 365 283
7 539 81
874 563 236
696 707 476
37 388 851
701 641 651
749 372 354
599 567 70
416 596 108
816 247 914
363 553 732
492 500 26
866 139 541
378 566 351
354 894 355
681 489 410
732 136 753
270 696 271
59 50 737
600 407 641
112 134 737
349 510 580
774 642 366
849 86 28
58 96 457
699 499 163
149 378 802
628 875 323
673 184 905
874 396 880
479 473 837
217 609 139
87 377 56
456 200 944
843 416 70
717 49 120
747 174 140
50 260 936
564 249 952
848 457 597
340 248 774
600 470 392
283 85 994
369 434 728
274 697 848
392 33 942
527 210 800
616 27 878
228 21 245
796 749 947
77 161 5
353 554 111
695 549 517
392 454 370
27 6 394
138 292 138
365 764 977
71 524 817
834 494 551
27 276 147
145 600 146
383 738 977
822 862 781
2 415 586
267 621 674
150 858 7
428 457 953
326 341 917
404 559 202
129 791 919
695 764 428
302 522 724
573 705 629
628 589 341
483 15 278
122 311 70
869 245 300
491 132 280
445 11 888
168 120 679
701 597 294
758 788 184
534 270 624
336 305 322
84 194 323
280 77 817
227 186 275
841 437 388
564 741 680
339 401 688
236 202 643
774 546 570
648 382 248
248 232 430
605 905 746
121 120 692
611 377 450
522 385 119
771 39 365
94 718 998
58 792 137
434 147 942
114 541 22
379 779 4
94 557 982
158 839 208
61 424 495
117 77 905
414 516 902
284 823 546
615 581 152
872 3 166
68 364 181
882 454 251
344 302 494
558 447 518
34 463 269
153 27 147
36 486 753
344 667 895
17 442 170
44 3 504
44 229 357
703 311 81
41 435 865
21 564 540
237 3 531
158 330 965
851 476 789
807 669 543
25 486 747
115 453 915
744 615 539
783 646 389
650 823 996
344 183 26
290 907 629
514 684 585
720 624 632
295 609 480
857 539 549
541 723 626
298 486 966
580 374 459
45 827 236
793 147 749
538 753 591
372 192 47
623 780 77
748 369 718
447 341 424
889 212 888
403 677 464
295 910 915
175 128 399
488 274 643
228 69 617
338 50 317
686 365 917
562 664 780
705 195 200
904 875 575
458 390 772
394 500 337
101 242 72
276 395 532
494 866 128
405 567 490
278 323 257
93 684 386
733 701 607
430 175 269
858 56 188
89 625 677
384 365 573
641 229 797
877 863 472
378 862 482
103 570 215
95 421 349
360 907 308
85 886 76
260 435 495
801 453 775
327 554 573
468 171 204
594 337 244
847 32 488
60 660 212
838 191 862
421 191 568
753 401 31
515 251 123
614 377 305
119 716 701
367 264 910
643 114 535
144 8 638
651 175 253
498 513 897
28 676 369
264 224 258
423 671 410
649 375 514
474 654 251
683 503 272
857 76 62
591 494 279
282 61 320
745 285 938
452 596 283
902 55 926
56 559 231
428 797 736
295 891 854
629 397 541
826 444 84
569 306 329
485 538 636
393 79 366
868 453 870
774 639 757
836 845 394
480 826 988
745 724 29
552 426 139
236 896 524
719 866 771
320 352 270
457 564 845
402 226 89
29 899 978
201 140 89
2 223 640
832 783 778
656 895 392
350 383 836
282 802 7
865 735 817
147 113 599
882 48 242
620 456 118
57 530 259
21 55 219
12 839 273
472 405 438
866 492 632
798 245 438
690 278 582
180 875 273
850 74 609
458 57 825
282 734 914
713 283 20
447 533 501
781 259 504
626 119 469
466 424 286
168 494 835
351 73 356
53 246 573
847 762 468
649 210 385
828 9 939
197 904 227
618 630 376
266 485 615
418 89 538
89 488 674
80 106 138
28 771 220
325 762 511
524 83 150
382 660 695
35 56 648
123 394 169
362 650 313
680 556 124
548 281 249
425 756 554
662 18 365
167 701 128
833 894 476
151 595 153
516 424 864
810 519 185
175 469 751
68 872 844
766 737 737
252 524 761
144 487 999
253 226 907
162 784 867
756 471 871
772 342 304
58 622 687
409 554 19
602 868 805
678 397 996
797 911 557
288 59 216
641 462 572
156 498 763
839 809 810
401 766 250
64 290 453
715 235 779
716 36 134
130 346 952
707 593 840
432 559 408
103 54 630
49 623 271
148 227 542
99 327 248
872 187 83
182 199 470
281 305 384
501 390 539
846 116 775
624 68 7
870 97 659
849 823 327
358 13 97
82 275 887
438 726 674
182 703 212
775 874 791
439 674 5
148 86 1
694 886 165
315 144 923
506 848 157
590 782 390
542 439 714
541 412 536
818 575 769
789 308 134
785 616 684
783 129 956
304 712 345
186 326 260
130 154 577
867 798 761
229 129 486
858 790 260
435 277 588
744 324 921
584 398 7
197 809 313
153 788 900
520 885 644
682 279 547
724 616 362
288 782 125
238 732 123
495 114 642
230 80 57
312 190 624
257 239 305
674 264 410
21 499 89
224 308 355
75 342 97
272 484 102
488 417 132
772 298 566
702 68 951
37 695 454
632 251 72
613 525 721
507 898 71
808 696 233
415 86 862
654 156 238
776 702 505
766 514 589
270 846 700
37 15 788
451 298 661
553 905 686
138 528 960
339 127 897
375 537 483
257 496 534
378 339 85
706 778 317
387 894 294
313 673 471
856 224 347
847 409 105
838 214 363
875 867 714
84 174 893
164 58 340
481 402 991
748 552 692
311 73 586
825 283 477
489 514 803
28 76 528
39 629 538
58 387 317
340 450 516
903 747 964
50 184 449
593 596 277
412 440 449
792 545 928
84 668 864
531 425 578
653 884 331
151 531 242
660 715 762
535 824 621
432 521 444
784 246 454
421 306 201
594 775 730
588 879 435
567 406 668
536 813 902
371 260 212
430 497 551
73 278 475
411 669 954
675 399 298
875 44 529
719 278 590
804 823 122
326 635 34
845 453 227
423 766 562
689 521 836
580 596 119
364 299 989
461 754 922
567 364 722
770 427 653
287 536 770
798 824 213
583 8 617
910 254 688
641 800 942
609 459 754
696 624 679
229 144 208
722 374 682
602 213 822
529 476 93
388 207 211
625 521 494
877 225 156
269 371 959
685 364 889
485 813 841
666 391 23
845 56 339
607 113 57
428 49 836
123 370 197
518 749 864
515 160 382
809 840 103
755 120 972
513 88 304
813 146 626
50 183 473
838 416 495
345 551 878
716 738 116
614 53 171
240 326 193
65 211 945
576 275 590
54 58 589
664 368 273
402 98 693
69 208 793
568 117 912
153 190 533
136 718 445
682 873 482
449 448 441
756 863 48
780 805 313
675 628 668
137 732 616
138 327 347
292 331 359
370 193 430
868 377 947
740 221 798
644 828 803
840 693 415
678 481 531
52 643 488
132 133 936
907 75 446
441 560 820
577 13 348
7 632 881
905 667 138
81 202 532
422 392 45
633 698 108
134 752 747
797 830 745
629 536 14
799 768 862
798 254 616
93 104 592
770 77 815
167 452 305
410 273 568
542 245 761
660 726 848
4 17 683
742 654 514
336 551 453
176 614 65
482 16 55
407 239 951
665 267 531
730 324 586
648 184 126
810 720 255
16 217 913
895 117 672
349 546 666
501 758 989
818 724 704
643 532 481
599 749 76
132 801 681
794 830 578
899 121 214
450 902 477
420 569 317
502 576 65
173 557 334
512 619 381
778 784 510
390 173 342
494 657 892
160 807 367
182 887 712
315 279 255
849 834 237
280 627 542
340 590 851
805 206 361
415 861 623
636 177 298
434 375 101
52 118 650
85 497 487
687 19 917
497 296 933
177 826 878
16 859 423
626 131 544
606 776 42
245 871 408
642 327 541
769 290 676
841 262 773
539 910 232
760 797 84
284 859 795
49 447 692
614 336 245
750 338 380
884 307 814
523 764 706
499 323 348
515 2 38
27 899 377
279 367 550
61 91 898
53 857 400
225 565 170
580 789 556
791 841 656
892 101 962
279 774 972
685 96 665
540 300 747
639 665 271
675 805 648
99 171 814
442 498 118
620 829 879
228 92 762
906 249 611
192 799 143
348 141 336
136 139 662
23 200 620
748 61 982
851 863 688
565 303 859
31 658 527
231 19 245
260 168 728
316 62 577
418 872 670
844 594 511
208 539 683
888 129 129
821 397 751
489 540 179
778 758 277
130 760 491
575 909 269
448 385 729
108 363 382
308 9 97
852 472 594
317 867 142
761 690 460
453 417 444
290 253 24
487 845 681
850 251 168
524 512 965
636 580 914
407 536 734
165 829 804
903 822 637
60 614 556
283 16 798
55 469 138
101 88 297
838 172 185
796 598 966
830 471 777
577 394 795
278 808 232
69 310 32
554 434 390
639 66 654
10 464 902
545 739 154
575 713 928
116 801 369
173 870 130
250 157 459
197 117 1000
299 667 1
650 216 386
147 334 872
442 310 525
259 145 664
186 556 901
872 32 944
355 633 17
467 172 727
54 781 527
713 339 144
434 517 752
723 531 183
643 821 414
298 293 433
88 484 306
286 776 400
193 157 405
107 866 639
751 507 910
870 852 876
854 339 396
525 420 248
171 103 332
377 194 524
431 633 598
202 182 13
299 242 419
496 657 646
710 813 122
524 763 26
320 577 193
360 19 648
761 359 674
95 383 962
228 792 881
821 754 837
107 177 24
521 456 904
747 570 913
572 366 377
861 294 315
287 716 129
128 504 277
145 826 287
265 416 677
19 468 76
783 571 754
638 674 763
385 135 210
362 655 255
356 439 28
212 539 50
780 76 332
341 860 576
387 320 225
238 440 367
660 111 398
62 245 957
903 143 127
519 453 946
235 732 503
521 130 192
278 373 565
792 490 939
202 584 196
153 758 868
216 394 727
375 456 844
447 229 948
115 424 286
255 204 661
870 363 820
208 268 680
468 344 402
781 284 277
866 460 175
884 361 240
807 301 636
613 854 874
403 420 363
120 768 692
146 318 399
672 333 899
721 842 618
764 106 179
69 539 550
119 14 774
150 205 666
406 910 304
69 314 764
168 744 700
857 798 517
686 518 900
533 183 363
119 509 547
637 513 622
693 23 17
74 633 433
519 577 214
763 145 563
862 495 245
813 344 739
120 317 968
797 208 823
672 804 801
679 61 294
150 495 99
10 814 617
223 700 829
685 536 334
901 302 657
182 389 512
659 236 137
314 823 392
154 865 288
332 457 621
66 153 582
229 268 214
335 315 318
723 437 709
372 562 397
546 817 773
290 764 945
839 85 865
617 678 396
497 146 583
775 713 46
289 283 132
117 349 570
405 830 966
458 676 160
679 487 623
704 287 283
148 331 480
248 870 324
462 553 690
666 426 155
657 641 146
781 632 228
83 49 886
519 520 915
1 177 186
805 179 661
720 909 505
824 48 651
860 60 957
167 345 521
798 407 427
96 770 989
289 227 626
117 809 835
51 570 978
96 365 905
555 306 494
339 521 444
372 285 554
508 224 471
877 395 338
166 405 835
873 214 349
655 221 623
146 285 720
413 627 82
106 432 409
739 212 365
149 587 384
183 187 620
129 52 718
597 11 661
311 566 203
770 649 656
166 653 222
374 13 66
253 215 562
873 182 307
693 726 670
878 117 851
53 50 478
799 911 984
802 694 906
392 658 42
426 159 81
32 550 490
349 525 276
480 384 873
780 364 37
289 351 746
509 362 180
879 113 420
746 868 541
815 877 406
558 645 334
246 606 510
36 200 690
243 315 499
493 794 562
319 46 899
690 180 333
878 907 523
683 796 533
366 520 721
736 399 954
13 539 165
347 455 624
2 667 41
187 869 844
169 631 541
620 223 279
130 687 931
108 847 790
462 544 232
3 533 180
301 172 311
245 125 150
104 726 163
444 511 806
227 683 995
500 609 959
363 301 764
126 603 646
399 196 421
556 469 917
622 837 124
171 162 522
697 427 824
548 648 717
124 137 233
269 760 436
7 255 86
674 531 5
128 175 672
400 677 769
205 156 342
620 384 482
87 469 720
892 840 61
379 328 85
685 695 107
513 436 925
338 358 77
593 269 701
491 116 602
438 243 604
383 217 229
662 136 384
695 5 549
899 847 85
573 511 925
615 726 520
515 600 808
413 462 462
720 529 315
811 259 756
57 44 457
333 472 536
696 268 808
269 461 139
519 164 259
905 314 176
345 414 846
713 882 928
296 367 106
48 876 74
319 431 615
644 338 753
317 95 638
64 769 151
715 467 708
871 157 735
274 443 435
660 120 776
228 209 409
808 580 263
309 52 656
459 714 34
857 840 116
135 840 312
572 808 704
65 240 299
911 198 985
535 304 185
434 84 200
805 589 566
422 176 674
49 126 381
